time,symbol,side,factor,value,ret
1775204701.7860703,SAPIENUSDT,LONG,hf_timing_score,0.6398,-2.189381499726428
1775204701.7860703,SAPIENUSDT,LONG,hf_microprice,0.3452,-2.189381499726428
1775204702.3080106,CUSDT,SHORT,volume_zscore,0.15649054377506,-5.020080321284985
1775204702.3080106,CUSDT,SHORT,oi_change_pct,0.3406290744821171,-5.020080321284985
1775204702.3080106,CUSDT,SHORT,ret_1m,0.32242155987799836,-5.020080321284985
1775204702.3080106,CUSDT,SHORT,funding_rate,0.8591050648732899,-5.020080321284985
1775204702.3080106,CUSDT,SHORT,ret_24h,0.3880253291327218,-5.020080321284985
1775204702.3080106,CUSDT,SHORT,raw_total,0.4005023147527114,-5.020080321284985
1775204702.3080106,CUSDT,SHORT,normalized_total,1.225181533885858,-5.020080321284985
1775204702.3080106,CUSDT,SHORT,hf_ofi,0.0029,-5.020080321284985
1775204702.3080106,CUSDT,SHORT,hf_lob_pc1,-0.0,-5.020080321284985
1775204702.3080106,CUSDT,SHORT,hf_lob_z1,-0.0,-5.020080321284985
1775204702.3080106,CUSDT,SHORT,hf_lob_z2,-0.0,-5.020080321284985
1775204702.3080106,CUSDT,SHORT,hf_fast_boost,0.0519,-5.020080321284985
1775204702.3080106,CUSDT,SHORT,hf_timing_score,0.622,-5.020080321284985
1775204702.3080106,CUSDT,SHORT,hf_microprice,0.3127,-5.020080321284985
1775204763.1058748,BRUSDT,LONG,volume_zscore,1.7389574244766501,0.7024938531787073
1775204763.1058748,BRUSDT,LONG,oi_change_pct,0.10792265632135915,0.7024938531787073
1775204763.1058748,BRUSDT,LONG,ret_1m,1.2177753633973596,0.7024938531787073
1775204763.1058748,BRUSDT,LONG,funding_rate,0.2358203095003786,0.7024938531787073
1775204763.1058748,BRUSDT,LONG,ret_24h,1.5330154925738584,0.7024938531787073
1775204763.1058748,BRUSDT,LONG,raw_total,0.6646095230321089,0.7024938531787073
1775204763.1058748,BRUSDT,LONG,normalized_total,1.9134293986211621,0.7024938531787073
1775204763.1058748,BRUSDT,LONG,hf_ofi,0.0462,0.7024938531787073
1775204763.1058748,BRUSDT,LONG,hf_lob_pc1,0.0,0.7024938531787073
1775204763.1058748,BRUSDT,LONG,hf_lob_z1,0.0,0.7024938531787073
